State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield_calc,StateCrop_Yield,Crop_Yield,State_Yield,Yield_filled,StateCrop_ProdMed,Crop_ProdMed,Soil_N,Soil_P,Soil_K,Soil_pH,Avg_Temperature,Avg_Rainfall,Fertilizer_avg
Karnataka,RAICHUR,2003,Kharif     ,Cotton(lint),31965.0,30941.0,0.967964961676834,1.7750186237081365,2.06329035586432,4.431194149038202,0.967964961676834,9979.0,3000.0,69.5229002604561,20.708193612463205,17.806268027266597,6.469480065256364,25.616243851779544,103.46365541576816,66.4874331640777
Madhya Pradesh,HOSHANGABAD,2012,Rabi       ,Urad,2.0,1.0,0.5,0.3370593974657206,0.4939117268066479,3.0630599393633173,0.5,875.0,366.0,69.5229002604561,20.708193612463205,17.806268027266597,6.469480065256364,25.616243851779544,103.46365541576816,66.4874331640777
Uttar Pradesh,CHITRAKOOT,1999,Rabi       ,Barley,5974.0,7197.0,1.204720455306327,2.184347656664188,1.8228683655922115,5.284643939921241,1.204720455306327,2964.0,1287.0,69.5229002604561,20.708193612463205,17.806268027266597,6.469480065256364,25.616243851779544,103.46365541576816,66.4874331640777
Uttar Pradesh,SHRAVASTI,2011,Summer     ,Urad,28.0,19.0,0.6785714285714286,0.5414319086711555,0.4939117268066479,5.284643939921241,0.6785714285714286,306.0,366.0,69.5229002604561,20.708193612463205,17.806268027266597,6.469480065256364,25.616243851779544,103.46365541576816,66.4874331640777
Maharashtra,SOLAPUR,2002,Kharif     ,Soyabean,700.0,500.0,0.7142857142857143,1.2828528576598228,1.0482759615533,4.367612637199205,0.7142857142857143,41000.0,1219.0,69.5229002604561,20.708193612463205,17.806268027266597,6.469480065256364,25.616243851779544,103.46365541576816,66.4874331640777
Uttar Pradesh,HAMIRPUR,2011,Rabi       ,Peas & beans (Pulses),9234.0,9788.0,1.0599956681828029,1.229249864771057,1.266965015376684,5.284643939921241,1.0599956681828029,2021.0,340.0,69.5229002604561,20.708193612463205,17.806268027266597,6.469480065256364,25.616243851779544,103.46365541576816,66.4874331640777
Assam,BARPETA,2012,Kharif     ,Niger seed,1765.0,944.0,0.534844192634561,0.5452424344611487,0.3856435722737814,148.63046809629688,0.534844192634561,131.0,156.0,69.5229002604561,20.708193612463205,17.806268027266597,6.469480065256364,25.616243851779544,103.46365541576816,66.4874331640777
Karnataka,CHIKMAGALUR,2002,Whole Year ,Dry chillies,2438.0,3194.0,1.310090237899918,1.8956919166376949,1.3724756322107716,4.431194149038202,1.310090237899918,490.0,259.0,69.5229002604561,20.708193612463205,17.806268027266597,6.469480065256364,25.616243851779544,103.46365541576816,66.4874331640777
Karnataka,UTTAR KANNAD,2010,Whole Year ,Turmeric,1.0,5.0,5.0,4.77739810258085,2.755895142489236,4.431194149038202,5.0,188.0,125.5,69.5229002604561,20.708193612463205,17.806268027266597,6.469480065256364,25.616243851779544,103.46365541576816,66.4874331640777
Gujarat,SABAR KANTHA,1998,Whole Year ,Potato,5400.0,129500.0,23.98148148148148,22.085737817538494,12.867024552196662,5.716670782386032,23.98148148148148,52400.0,6437.0,69.5229002604561,20.708193612463205,17.806268027266597,6.469480065256364,25.616243851779544,103.46365541576816,66.4874331640777
Karnataka,BIJAPUR,2000,Kharif     ,Moong(Green Gram),29794.0,10699.0,0.3590991474793583,0.2478286939246312,0.4524345180236346,4.431194149038202,0.3590991474793583,220.5,129.75,69.5229002604561,20.708193612463205,17.806268027266597,6.469480065256364,25.616243851779544,103.46365541576816,66.4874331640777
Kerala,KASARAGOD,1999,Kharif     ,Sesamum,26.0,14.0,0.5384615384615384,0.3565418399608261,0.4590431056554762,381.27223063192105,0.5384615384615384,11.0,161.1,69.5229002604561,20.708193612463205,17.806268027266597,6.469480065256364,25.616243851779544,103.46365541576816,66.4874331640777
Uttar Pradesh,GHAZIPUR,1998,Kharif     ,Small millets,27.0,15.0,0.5555555555555556,0.7345651873618997,0.6599756503051525,5.284643939921241,0.5555555555555556,33.0,211.5,69.5229002604561,20.708193612463205,17.806268027266597,6.469480065256364,25.616243851779544,103.46365541576816,66.4874331640777
Karnataka,BELLARY,2006,Summer     ,Ragi,84.0,179.0,2.130952380952381,1.5479608224203616,1.1980698919278736,4.431194149038202,2.130952380952381,1069.0,311.0,69.5229002604561,20.708193612463205,17.806268027266597,6.469480065256364,25.616243851779544,103.46365541576816,66.4874331640777
Rajasthan,SAWAI MADHOPUR,2005,Whole Year ,Onion,41.0,122.0,2.975609756097561,4.98145481691608,11.855243341752963,2.841470917538227,2.975609756097561,293.0,1718.0,69.5229002604561,20.708193612463205,17.806268027266597,6.469480065256364,25.616243851779544,103.46365541576816,66.4874331640777
Bihar,ARARIA,2007,Whole Year ,Coriander,192.0,139.0,0.7239583333333334,0.6254319076058348,0.4983162642888148,3.5098138321437378,0.7239583333333334,25.0,36.0,69.5229002604561,20.708193612463205,17.806268027266597,6.469480065256364,25.616243851779544,103.46365541576816,66.4874331640777
Karnataka,MANDYA,2004,Summer     ,Maize,152.0,465.0,3.0592105263157894,2.8303131141194324,2.632769546182174,4.431194149038202,3.0592105263157894,2503.0,2280.0,69.5229002604561,20.708193612463205,17.806268027266597,6.469480065256364,25.616243851779544,103.46365541576816,66.4874331640777
